title,location,time
PyConline AU 2021,"Online, Australia",10 Sept. – 12 Sept.  2021
PyCon Odessa 2021,"Damani-Hotel, Dachniy kooperatyv, plot 4, Karolino-Buhaz, Odesa region, Ukraine",11 Sept. – 12 Sept.  2021
PyCon India 2021,online,17 Sept. – 20 Sept.  2021
PyConTW 2021,Online,02 Oct. – 03 Oct.  2021
PyCon ZA 2021,Online,07 Oct. – 08 Oct.  2021
PyCon Sweden 2021,online,21 Oct. – 22 Oct.  2021
PyCon Chile,On line,05 Nov. – 07 Nov.  2021
PyCon APAC 2021,"Bangkok, Thailand and online",19 Nov. – 23 Nov.  2021
Xtreme Python,Online (Israel),24 Nov. 2021
PyCon Namibia 2022,,17 Feb. – 19 Feb.  2022
Kiwi PyCon,"Ōtautahi/Christchurch, Aotearoa/New Zealand",18 Feb. – 20 Feb.  2022
PyCon Italy 12,"Florence, Italy",02 June – 05 June  2022
EuroPython 2022,"Dublin, Ireland",11 July – 17 July  2022
PyCon UK 2022,"Cardiff City Hall, UK",16 Sept. – 20 Sept.  2022
